Transaction ID,Segment,Revenue
367524363,granify,86.43
367524367,baseline,144.75
367524371,granify,144.75
367524377,granify,79.98
367524381,granify,64.9
367524383,granify,325.75
367524387,granify,38
367524389,granify,314.73
367524391,baseline,109.12
367524393,granify,57.31
367524397,baseline,79.55
367524399,granify,109.98
367524401,granify,134.96
367524403,granify,473.26
367524407,granify,74.37
367524409,granify,169.98
367524411,granify,89.98
367524413,granify,74.98
367524415,granify,36
367524417,granify,129.22
367524419,granify,400.04
367524421,baseline,309.69
367524423,granify,80
367524425,granify,144.75
367524429,granify,31.25
367524431,granify,69.98
367524435,granify,239
367524437,granify,264.31
367524439,granify,24.95
367524443,granify,166.25
367524445,granify,530.98
367524447,granify,89.95
367524449,granify,169.98
367524451,granify,429.9
367524455,granify,155.08
367524457,granify,99.98
367524459,granify,19.95
367524461,granify,44.98
367524465,granify,53.25
367524467,granify,229.94
367524469,granify,279.98
367524473,granify,79.98
367524477,granify,885.99
367524479,granify,119.98
367524481,granify,73.75
367524483,granify,124
367524485,granify,169.2
367524487,granify,135.45
367524489,granify,624.97
367524493,granify,155
367524495,granify,324.94
367524497,granify,123.75
367524501,granify,595
367524503,granify,109.98
367524505,granify,56.75
367524507,granify,44.98
367524509,granify,179.98
367524511,granify,109.98
367524519,granify,21.25
367524521,granify,159.99
367524525,granify,99.99
367524527,granify,94.98
367524529,granify,67.98
367524531,granify,37.7
367524537,granify,185.4
367524539,granify,44.98
367524541,granify,564.78
367524543,granify,24.25
367524545,granify,44.98
367524547,granify,69.98
367524549,granify,39.98
367524551,granify,44.98
367524553,granify,30
367524555,granify,79.98
367524557,granify,714.63
367524561,baseline,70.25
367524563,granify,175.75
367524565,granify,20.52
367524567,granify,44.98
367524569,granify,21.25
367524571,granify,63.96
367524575,granify,473
367524577,granify,109.98
367524579,granify,41.53
367524581,granify,104.98
367524583,granify,104.98
367524585,granify,51.8
367524587,granify,69.98
367524589,granify,82.71
367524591,granify,109.98
367524593,granify,44.98
367524595,granify,77.53
367524597,baseline,69.98
367524599,granify,65.13
367524601,granify,219.96
367524603,granify,130.95
367524605,granify,249
367524607,granify,31.01
367524611,granify,44.98
367524613,granify,34.99
367524615,granify,208.85
367524617,granify,104.98
367524619,granify,69.98
367524621,granify,169.98
367524623,granify,23.99
367524625,baseline,109.98
367524627,baseline,144.75
367524629,granify,89.9
367524631,granify,144.64
367524633,granify,29.8
367524635,granify,109.98
367524637,granify,358
367524639,granify,44.98
367524641,granify,109.98
367524645,granify,80.74
367524647,granify,49.98
